a,b,c,d,e,f,g,h,z
310,693,451,3037,1749,883,4818,7414,0
395,720,522,3009,1751,878,4718,7043,0
534,825,653,3201,1930,1098,4857,6611,0
561,926,789,3393,2135,1244,4677,6227,0
468,816,620,3365,1909,967,5055,6888,0
464,775,602,2825,1646,879,4289,6487,0
449,823,652,3139,1822,973,4544,6560,0
411,752,561,2877,1500,798,4400,6736,0
686,807,572,2379,906,420,4235,6123,0
660,755,502,2234,721,273,4206,6330,0
712,824,592,2350,1038,514,4161,5976,0
799,940,787,2192,1199,817,3216,4716,0
822,971,849,2432,1374,966,3483,4825,0
735,845,684,2568,1104,671,4221,5793,0
666,768,558,2341,1021,531,4168,6150,0
700,842,647,2185,1158,598,3555,5431,0
2603,2831,2791,4774,3920,2690,4132,2621,0
2638,3007,2950,4911,4239,2962,3822,2495,0
3048,3420,3463,5401,4843,3423,3638,2186,0
2891,3160,3184,5253,4402,3032,4081,2452,0
2433,2720,2681,4876,3888,2549,4316,2905,0
2434,2692,2657,4845,3932,2564,4365,2917,0
2469,2709,2683,4849,3787,2462,4357,2876,0
2474,2608,2585,4701,3496,2237,4538,2904,0
2007,2326,2252,4573,3172,1966,4452,3401,0
1463,1872,1721,4285,2741,1619,4700,4269,0
673,1270,999,3863,2262,1256,4835,5891,0
440,946,659,3240,1632,861,4644,6620,0
352,840,555,2914,1326,665,4335,6800,0
450,865,620,2718,1247,626,4015,6285,0
398,804,547,2519,1096,550,3847,6432,0
394,778,512,2672,1180,606,4222,6784,0
395,822,616,3049,1556,840,4413,6638,0
505,944,789,2729,1736,1270,3546,5514,0
591,999,884,2884,1962,1383,3635,5308,2
511,872,814,2555,1597,1066,3199,5168,2
580,963,842,2819,1881,1317,3655,5400,2
677,1098,1022,3023,2294,1608,3554,4947,2
568,978,821,3307,2101,1247,4448,6022,2
457,857,609,3410,1707,846,5135,6969,0
437,811,543,3310,1533,721,5205,7181,0
415,801,516,3321,1513,686,5271,7310,0
408,810,537,3123,1449,684,4866,7066,0
447,863,635,2996,1551,823,4387,6502,0
518,903,726,2795,1424,820,3899,5876,0
409,797,566,2867,1268,631,4359,6703,0
358,763,503,3024,1368,635,4718,7148,0
373,783,538,3255,1601,758,4963,7163,0
363,788,525,3338,1540,698,5109,7282,0
444,815,550,3567,1618,728,5572,7328,0
425,804,546,3328,1618,760,5184,7181,0
438,838,623,3286,1809,944,4846,6812,0
395,775,535,3475,1752,864,5356,7332,0
426,806,588,3301,1724,840,4975,6976,0
434,790,551,3331,1705,799,5194,7161,0
388,766,479,3865,1670,706,6121,7795,0
400,748,472,3848,1640,678,6170,7815,0
435,787,559,3086,1410,650,4794,6933,0
494,814,625,2251,983,515,3306,5654,0
381,741,509,2911,1382,636,4581,7023,0
336,712,519,2764,1632,848,4202,6838,0
373,730,619,2206,1327,812,3023,5618,0
343,665,503,1713,589,326,2488,5460,0
271,588,390,1534,449,217,2415,5946,0
269,617,438,1593,547,272,2366,5687,0
301,647,416,2086,835,430,3388,6675,0
471,762,582,2486,1447,813,3825,6206,0
453,803,616,2661,1627,930,3945,6240,0
672,1011,960,2745,2024,1545,3314,4818,0
585,943,790,3543,2204,1253,4953,6354,0
506,843,661,3649,2159,1091,5405,6933,0
485,802,597,3430,1855,905,5296,7035,0
486,874,702,3376,2120,1154,4795,6557,0
471,802,673,2573,1503,894,3632,5853,0
712,839,626,2342,921,459,3988,5782,0
727,836,630,2074,810,455,3471,5340,0
755,811,610,2075,950,754,3636,5456,0
768,841,679,2165,1261,997,3545,5225,0
785,934,766,2511,1526,1091,3888,5325,0
792,931,734,2285,1173,666,3607,5137,0
820,975,827,2444,1288,764,3591,4943,0
731,849,631,2766,1288,646,4822,6285,0
2676,2974,2957,4900,4228,2942,3864,2473,0
3014,3494,3516,5402,4887,3488,3394,2115,0
3042,3329,3418,5447,4660,3259,3860,2289,0
2575,2754,2750,4942,3892,2569,4518,2850,0
2226,2504,2450,4702,3575,2248,4431,3149,0
2341,2593,2547,4796,3759,2358,4491,3063,0
2352,2669,2655,4886,3682,2298,4233,2958,0
1895,2331,2235,4567,3251,1992,4236,3428,0
1644,2007,1883,4352,2883,1737,4634,3960,0
1264,1629,1447,4185,2503,1429,5113,4862,0
816,1280,1048,3908,2223,1207,5080,5771,0
466,958,681,3300,1664,851,4713,6579,0
356,825,533,2880,1319,654,4376,6877,0
433,852,602,2482,1065,556,3659,6096,0
453,860,626,2264,891,479,3244,5668,0
464,892,684,2750,1400,755,3862,6016,0
444,906,713,3474,1983,1070,4786,6594,0
624,1047,936,3307,2244,1524,4162,5588,0
779,1182,1135,3168,2271,1641,3596,4725,2
676,1131,1078,3044,2106,1437,3403,4770,2
657,1080,969,2874,1893,1333,3461,4957,2
720,1122,1018,2971,2071,1478,3569,4896,2
680,1086,1002,3041,2157,1514,3653,5043,2
643,1055,953,3108,2077,1367,3847,5307,2
519,913,712,3131,1646,888,4476,6295,0
450,815,568,3069,1495,729,4772,6877,0
408,807,567,3132,1592,809,4759,6934,0
498,949,749,3031,1622,893,4137,6037,0
525,951,729,2735,1195,680,3807,5791,0
433,838,621,2576,988,538,3744,6115,0
364,776,527,2967,1351,648,4553,6983,0
315,742,474,3129,1488,694,4877,7369,0
305,725,452,3314,1520,699,5208,7600,0
336,740,471,3380,1545,700,5314,7554,0
417,807,556,3148,1508,716,4852,6998,0
553,905,737,3043,1756,1076,4329,6101,0
484,847,679,3025,1769,1063,4354,6334,0
389,755,514,3322,1776,875,5204,7320,0
429,778,552,3237,1746,850,5035,7086,0
407,769,508,3634,1694,749,5734,7547,0
420,770,510,3726,1727,753,5896,7592,0
445,781,545,3001,1343,637,4747,6926,0
449,791,580,2344,1064,550,3540,6033,0
351,729,506,2250,1300,627,3446,6328,0
267,644,413,2328,1516,730,3739,6987,0
207,528,278,2201,947,430,3903,7757,0
240,531,314,1691,509,244,2924,6868,0
289,586,386,1590,501,242,2564,6093,0
255,569,341,1626,515,228,2732,6533,0
277,582,354,1935,657,296,3299,6907,0
409,700,516,2149,1145,702,3352,6128,0
561,925,840,2677,1974,1319,3399,5223,0
704,1048,961,3311,2240,1434,4258,5501,0
549,927,725,3794,2193,1164,5470,6791,0
546,882,683,3603,2161,1125,5365,6813,0
568,881,751,2850,2118,1246,4007,5829,0
548,873,715,3170,2054,1134,4597,6319,0
477,816,605,3302,1801,927,5049,6903,0
521,782,552,2683,1231,588,4407,6587,0
558,802,632,2373,1231,692,3633,5794,0
817,891,751,2017,1162,818,3045,4574,0
754,878,692,2548,1502,872,4201,5728,0
729,880,627,3050,1655,843,5340,6590,0
726,885,645,2922,1567,782,5017,6384,0
738,930,685,2797,1448,739,4643,6065,0
797,923,689,2909,1419,693,5016,6170,0
2183,2523,2428,4413,3560,2470,3936,2902,0
2388,2524,2470,4590,3645,2402,4609,3003,0
2327,2651,2598,4824,3813,2489,4294,2999,0
947,1556,1565,4636,3264,2015,4537,4952,0
705,1312,1344,4406,2954,1771,4455,5325,0
375,1009,1001,4264,2746,1591,4673,6198,0
38,666,660,4110,2433,1354,4850,7233,0
677,1201,954,3756,2226,1188,4864,5949,0
